"Test Case ID","Work Item Type","Title","Workstream","Phase","Priority","Category/Tag","Test Step","Step Action","Step Expected Result","Suite File"
"TC-HO-01","Test Case","Correct backlog & User Story creation","Shared","Pattern","n/a","","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","Open the **client-specific** Jira backlog (confirm with product owner/PM)","Correct backlog",""
"","","","","","","","2","Create a new User Story (not Task/Bug; not in a generic backlog)","Story created",""
"TC-HO-02","Test Case","Title formatted with real values, no placeholders","Shared","Pattern","n/a","CRITICAL — REF substitution","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","Apply the phase's Title template","Matches exactly",""
"","","","","","","","2","Replace every `REF[...]` with the value from Env Variables ""Key"" column","All replaced",""
"","","","","","","","3","Search the story for literal ""REF[""","Zero matches",""
"TC-HO-03","Test Case","Description references the Tier from Phase 1","Shared","Pattern","n/a","Tier correctness","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","Confirm the Tier cited equals the Phase 1 Env Variables Tier","Identical",""
"","","","","","","","2","Confirm the correct Tier architecture file is the one referenced","Matches Tier",""
"TC-HO-04","Test Case","All reference links valid","Shared","Pattern","n/a","Links resolve","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","Follow every link in the Description (architecture folder, windward-1.0/2.0, Env Variables, phase-specific docs)","All resolve",""
"","","","","","","","2","Confirm linked docs are the intended targets","Correct targets",""
"TC-HO-05","Test Case","Acceptance Criteria matches playbook wording","Shared","Pattern","n/a","","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","Enter the phase's prescribed Acceptance Criteria","Present and saved",""
"","","","","","","","2","Confirm it states the measurable done-condition","Yes",""
"TC-HO-06","Test Case","Ticket assigned to the correct specialist team","Shared","Pattern","n/a","CRITICAL — Assignment","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","Assign per the phase Work Assignments","Correct team/owner",""
"","","","","","","","2","Confirm not left unassigned / wrong team","Correct",""
"TC-HO-07","Test Case","One ticket per env, DEV→QAR→PROD→HFX","Shared","Pattern","n/a","Sequential env order, where applicable","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","If the phase processes per-environment, create one ticket per env","Separate tickets",""
"","","","","","","","2","Wait for each env to complete before the next","Order honored",""
"TC-HO-08","Test Case","Completion confirmed by specialist team","Shared","Pattern","n/a","Hand-off / wait-for-Done","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","After assignment, monitor ticket","Specialist team updates to Done/Resolved or comments completion",""
"","","","","","","","2","Confirm the documented Output/Completion-Checklist deliverables are met","Deliverables evidenced in ticket",""
"TC-HO-09","Test Case","Phase blocked if prior-phase deliverables incomplete","Shared","Pattern","n/a","Negative — prerequisites","","","","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"","","","","","","","1","Attempt the phase with an unmet prerequisite (e.g., prior phase not COMPLETE, missing access)","Cannot proceed; gap surfaced",""
"TC-P1-01","Test Case","All required Client Information fields collected","WS1","1","P1","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Collect Tenant Name, Tenant ID, Single/Multi-Tenant, Tenant Country Code, Client Member Count","All six fields present and non-empty",""
"","","","","","","","2","Confirm each value's source matches the ""Request data from"" column","Architect/Coordinator for tenant fields; AJ's SQL or NBI for member count",""
"","","","","","","","3","Confirm values temporarily recorded (notes/email) before Step 2","Evidence exists",""
"TC-P1-02","Test Case","All required AWS Account Information fields collected","WS1","1","P1","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Collect Cost Center (Finance — Kelly Barrero)","6-digit code obtained",""
"","","","","","","","2","Collect ATG (Architect)","ATG governance ID obtained (e.g., ATG0004932)",""
"","","","","","","","3","Collect New vs Existing IAM role decision (Cloud Infra — Erik/Lindsay)","Decision recorded",""
"TC-P1-03","Test Case","Field-format validation","WS1","1","P1","Format/Negative","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Enter Tenant ID = ""KCL"" (3 chars)","Accepted",""
"","","","","","","","2","Enter Tenant ID = ""KC"" or ""KCLM""","Rejected — must be exactly 3 chars",""
"","","","","","","","3","Enter Tenant ID equal to an existing tenant's ID","Rejected — must be unique across all tenants",""
"","","","","","","","4","Enter Cost Center = ""12AB56"" or ""1234""","Rejected — must be 6 digits",""
"","","","","","","","5","Enter Country Code = ""USA""","Rejected — expected short code ""us""/""ca""",""
"TC-P1-04","Test Case","Existing vs New client member-count path","WS1","1","P1","Decision table","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Client exists in Windward → run `ClientMemCount.sql` on PROD","Count obtained via SQL (see `TC_SQL_ClientMemCount`)",""
"","","","","","","","2","Client NOT yet in Windward → NBI process","Flagged as gap G1 (NBI = TBD); onboarding blocked until NBI defined",""
"TC-P1-05","Test Case","Member count produced by authorized US-based operator","WS1","1","P1","Security","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Identify who ran the PROD count","A US-based team member with authorized PROD/PHI access",""
"","","","","","","","2","Attempt to source count from a non-US / unauthorized operator","Rejected / not permitted",""
"TC-P1-06","Test Case","Tab copy & filter procedure","WS1","1","P1","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Copy `Master_Sheet` tab in Environment Variables workbook","New tab created",""
"","","","","","","","2","Rename tab to client name (e.g., ""Client X"")","Tab renamed",""
"","","","","","","","3","Filter Col H = Phase 1, Col G = Manual","Only Phase 1 Manual rows shown",""
"","","","","","","","4","Clear existing Col C values on those rows","Manual cells emptied, ready for input",""
"TC-P1-07","Test Case","Tier derived correctly at every boundary","WS1","1","P1","Boundary — Tier calculation, CRITICAL","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","0 (B-5)","Tier 3",""
"","","","","","","","2","99,999 (B-1)","Tier 3",""
"","","","","","","","3","100,000 (B-2)","Tier 2",""
"","","","","","","","4","250,000 (C-MID)","Tier 2",""
"","","","","","","","5","999,999 (B-3)","Tier 2",""
"","","","","","","","6","1,000,000 (B-4)","Tier 1",""
"","","","","","","","7","1,500,000 (C-HIGH)","Tier 1",""
"","","","","","","","8","15,172 (C-LOW)","Tier 3",""
"TC-P1-08","Test Case","All Manual Phase-1 fields entered in Column C","WS1","1","P1","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Inspect Col C for each Manual row","All nine values present, none left blank",""
"","","","","","","","2","Cross-check each value vs Step 1 collected data","Exact match",""
"TC-P1-09","Test Case","Spreadsheet values match stakeholder source exactly","WS1","1","P1","Data validation","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Compare each Col C value to the recorded stakeholder value","Character-for-character match",""
"","","","","","","","2","Compare formats to Step 1 rules","All formats valid",""
"TC-P1-10","Test Case","Two operators, same client → identical Tier & values","WS1","1","P1","Repeatability","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Operator A and Operator B independently complete Phase 1 for C-MID","Same Member Count, same Tier 2, same field values",""
"TC-P1-11","Test Case","Links, references, and glossary consistency","WS1","1","P1","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"","","","","","","","1","Follow every `[...](...)` link in Phase 1","All resolve (Introduction, Glossary, ClientMemCount.sql, Env Variables)",""
"","","","","","","","2","Confirm every defined term (Tenant, Tier, Single/Multi-Tenant, etc.) exists in Glossary","All present and non-contradictory",""
"","","","","","","","3","Confirm Completion Checklist items map to Steps 1–2 outputs","Each deliverable traceable",""
"TC-SQL-01","Test Case","Golden client returns verified count","WS1","SQL","P1","CRITICAL — Accuracy","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Set `purchaser_gid = <GOLD>`; run on PROD","Executes without error",""
"","","","","","","","2","`SELECT COUNT(*) FROM #temp_member_search`","Equals GOLD expected count",""
"","","","","","","","3","Compare to independent source (NBI/prior audit)","Match within agreed tolerance (ideally exact)",""
"TC-SQL-02","Test Case","No duplicate members inflate the count","WS1","SQL","P1","Distinctness","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","`SELECT COUNT(*) , COUNT(DISTINCT contact_relation_gid) FROM #temp_member_search`","Both equal",""
"","","","","","","","2","Confirm `GROUP BY cm.contact_relation_gid` collapses multi-coverage members","One row per member",""
"TC-SQL-03","Test Case","Total vs Active count clarified","WS1","SQL","P1","CRITICAL — Definition gap G2","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Determine semantics of `record_status='A'`","'A' = row is active/not-deleted, NOT member coverage status",""
"","","","","","","","2","Check whether termed (coverage-ended) members are included","Per header intent, termed-but-resident members SHOULD be counted",""
"","","","","","","","3","Confirm whether a separate ""active members"" figure exists","If none → **defect**: query provides total only; ""active count"" undefined",""
"TC-SQL-04","Test Case","Termed members are counted","WS1","SQL","P1","Inactive inclusion","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Run for TERMED profile (members termed but data resident)","Count > 0",""
"","","","","","","","2","Cross-check a known termed member appears in `#temp_member_search`","Present",""
"TC-SQL-05","Test Case","Count feeds correct Tier","WS1","SQL","P1","Boundary → Tier handoff","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Take query count and apply Tier rule",">=1M→T1, >=100K→T2, <100K→T3",""
"","","","","","","","2","Verify count near a Tier boundary classifies correctly","Correct Tier",""
"TC-SQL-06","Test Case","Nonexistent purchaser_gid","WS1","SQL","P1","Negative","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Set `purchaser_gid = 999999999`; run","0 rows; no error",""
"","","","","","","","2","Operator interprets 0 correctly","Recognized as ""no members / wrong gid"", not Tier 3 by default",""
"TC-SQL-07","Test Case","Read-only, no side effects","WS1","SQL","P1","Safety / non-destructive","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Review statements","Only `DROP TABLE IF EXISTS #temp_member_search` (session temp) + `SELECT ... INTO #temp`",""
