"Test Case ID","Workstream","Phase","Priority","Environment(s)","Title","Category/Tag","Objective","Steps (Action => Expected)","Pass/Fail Criteria","Suite File"
"TC-HO-01","Shared","Pattern (all hand-off phases)","n/a","All","Correct backlog & User Story creation","","","Open the **client-specific** Jira backlog (confirm with product owner/PM) => Correct backlog | Create a new User Story (not Task/Bug; not in a generic backlog) => Story created","Story created in the correct client backlog.","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-HO-02","Shared","Pattern (all hand-off phases)","n/a","All","Title formatted with real values, no placeholders","CRITICAL — REF substitution","","Apply the phase's Title template => Matches exactly | Replace every `REF[...]` with the value from Env Variables ""Key"" column => All replaced | Search the story for literal ""REF["" => Zero matches","No unresolved `REF[]` anywhere in Title/Description/AC.","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-HO-03","Shared","Pattern (all hand-off phases)","n/a","All","Description references the Tier from Phase 1","Tier correctness","","Confirm the Tier cited equals the Phase 1 Env Variables Tier => Identical | Confirm the correct Tier architecture file is the one referenced => Matches Tier","Tier in ticket = Phase 1 Tier; correct Tier spec linked. (Skip if phase has no Tier reference.)","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-HO-04","Shared","Pattern (all hand-off phases)","n/a","All","All reference links valid","Links resolve","","Follow every link in the Description (architecture folder, windward-1.0/2.0, Env Variables, phase-specific docs) => All resolve | Confirm linked docs are the intended targets => Correct targets","No broken or wrong links.","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-HO-05","Shared","Pattern (all hand-off phases)","n/a","All","Acceptance Criteria matches playbook wording","","","Enter the phase's prescribed Acceptance Criteria => Present and saved | Confirm it states the measurable done-condition => Yes","AC present, accurate, saved.","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-HO-06","Shared","Pattern (all hand-off phases)","n/a","All","Ticket assigned to the correct specialist team","CRITICAL — Assignment","","Assign per the phase Work Assignments => Correct team/owner | Confirm not left unassigned / wrong team => Correct","Routed to the documented team.","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-HO-07","Shared","Pattern (all hand-off phases)","n/a","All","One ticket per env, DEV→QAR→PROD→HFX","Sequential env order, where applicable","","If the phase processes per-environment, create one ticket per env => Separate tickets | Wait for each env to complete before the next => Order honored","Sequential order respected. (Skip if single-shot phase.)","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-HO-08","Shared","Pattern (all hand-off phases)","n/a","All","Completion confirmed by specialist team","Hand-off / wait-for-Done","","After assignment, monitor ticket => Specialist team updates to Done/Resolved or comments completion | Confirm the documented Output/Completion-Checklist deliverables are met => Deliverables evidenced in ticket","Specialist team confirms completion with evidence; otherwise follow up.","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-HO-09","Shared","Pattern (all hand-off phases)","n/a","All","Phase blocked if prior-phase deliverables incomplete","Negative — prerequisites","","Attempt the phase with an unmet prerequisite (e.g., prior phase not COMPLETE, missing access) => Cannot proceed; gap surfaced","Unmet prerequisite blocks the phase rather than producing an incomplete ticket.","test-cases/_shared/TC_PATTERN_JiraHandoffPhase.md"
"TC-P1-01","WS1","1","P1","One-time + PROD (member count)","All required Client Information fields collected","","Verify every Client Information field is gathered from the correct stakeholder and recorded before Step 2.","Collect Tenant Name, Tenant ID, Single/Multi-Tenant, Tenant Country Code, Client Member Count => All six fields present and non-empty | Confirm each value's source matches the ""Request data from"" column => Architect/Coordinator for tenant fields; AJ's SQL or NBI for member count | Confirm values temporarily recorded (notes/email) before Step 2 => Evidence exists","All fields collected from the documented source and recorded. Missing any field = Fail.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-02","WS1","1","P1","One-time + PROD (member count)","All required AWS Account Information fields collected","","Verify Cost Center, ATG, and New/Existing role are gathered from the correct owners.","Collect Cost Center (Finance — Kelly Barrero) => 6-digit code obtained | Collect ATG (Architect) => ATG governance ID obtained (e.g., ATG0004932) | Collect New vs Existing IAM role decision (Cloud Infra — Erik/Lindsay) => Decision recorded","All three AWS fields obtained from documented owners.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-03","WS1","1","P1","One-time + PROD (member count)","Field-format validation","Format/Negative","Verify format rules are enforced; malformed inputs are rejected.","Enter Tenant ID = ""KCL"" (3 chars) => Accepted | Enter Tenant ID = ""KC"" or ""KCLM"" => Rejected — must be exactly 3 chars | Enter Tenant ID equal to an existing tenant's ID => Rejected — must be unique across all tenants | Enter Cost Center = ""12AB56"" or ""1234"" => Rejected — must be 6 digits | Enter Country Code = ""USA"" => Rejected — expected short code ""us""/""ca""","Each malformed value is caught before Step 2.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-04","WS1","1","P1","One-time + PROD (member count)","Existing vs New client member-count path","Decision table","Verify the correct member-count source is used per client type.","Client exists in Windward → run `ClientMemCount.sql` on PROD => Count obtained via SQL (see `TC_SQL_ClientMemCount`) | Client NOT yet in Windward → NBI process => Flagged as gap G1 (NBI = TBD); onboarding blocked until NBI defined","Correct path chosen; new-client gap surfaced rather than silently skipped.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-05","WS1","1","P1","One-time + PROD (member count)","Member count produced by authorized US-based operator","Security","Verify PHI-touching member count is sourced compliantly.","Identify who ran the PROD count => A US-based team member with authorized PROD/PHI access | Attempt to source count from a non-US / unauthorized operator => Rejected / not permitted","Count provenance is compliant; otherwise Fail (S1 security defect).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-06","WS1","1","P1","One-time + PROD (member count)","Tab copy & filter procedure","","Verify the operator copies `Master_Sheet`, renames to client, and filters to Phase 1 / Manual rows.","Copy `Master_Sheet` tab in Environment Variables workbook => New tab created | Rename tab to client name (e.g., ""Client X"") => Tab renamed | Filter Col H = Phase 1, Col G = Manual => Only Phase 1 Manual rows shown | Clear existing Col C values on those rows => Manual cells emptied, ready for input","Working tab prepared exactly per instructions; `Master_Sheet` left unmodified.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-07","WS1","1","P1","One-time + PROD (member count)","Tier derived correctly at every boundary","Boundary — Tier calculation, CRITICAL","Verify Tier logic: `>=1,000,000 → Tier 1`, `>=100,000 → Tier 2`, `<100,000 → Tier 3`. This is the single highest-value computed value in Phase 1.","0 (B-5) => Tier 3 | 99,999 (B-1) => Tier 3 | 100,000 (B-2) => Tier 2 | 250,000 (C-MID) => Tier 2 | 999,999 (B-3) => Tier 2 | 1,000,000 (B-4) => Tier 1 | 1,500,000 (C-HIGH) => Tier 1 | 15,172 (C-LOW) => Tier 3","Every row yields the expected Tier. Any boundary miss = Fail (S1 — wrong Tier mis-sizes all downstream infrastructure).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-08","WS1","1","P1","One-time + PROD (member count)","All Manual Phase-1 fields entered in Column C","","Verify every Manual field is populated: Single/Multi-Tenant, Member Count, Tier, Tenant Name, Tenant ID, Country Code, Cost Center, ATG, New/Existing role.","Inspect Col C for each Manual row => All nine values present, none left blank | Cross-check each value vs Step 1 collected data => Exact match","All Manual fields populated and consistent with Step 1.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-09","WS1","1","P1","One-time + PROD (member count)","Spreadsheet values match stakeholder source exactly","Data validation","Verify no transcription drift between stakeholder inputs and spreadsheet.","Compare each Col C value to the recorded stakeholder value => Character-for-character match | Compare formats to Step 1 rules => All formats valid","Zero discrepancies.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-P1-10","WS1","1","P1","One-time + PROD (member count)","Two operators, same client → identical Tier & values","Repeatability","Verify the procedure is deterministic.","Operator A and Operator B independently complete Phase 1 for C-MID => Same Member Count, same Tier 2, same field values","Results identical across operators.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
