Title,Step Action,Step Expected Result
P1_ValidateEnvironmentVariablesCompleteness,Open the Environment Variables spreadsheet and navigate to the client-specific tab,Client tab exists and is accessible in SharePoint
,Confirm all rows where Input Type = Manual in Column F have a value entered in Column C,No blank cells exist for any Manual input row
,Confirm Fixed fields (Environment, Environment Prefix, Server Number) have not been modified,Fixed fields retain their pre-configured values and formulas are intact
,Confirm Auto-Generated fields (AWS Account Name, Server Names) have calculated correctly from Manual inputs,Auto-Generated fields display values derived from the entered Manual inputs with no formula errors
P1_ValidateTierCalculation,Open the Environment Variables spreadsheet and navigate to the client-specific tab,Client tab is accessible
,Locate the Client Member Count value in Column C,Member count value is present and numeric
,Verify the Tier value in Column C matches the correct threshold: Tier 1 if >= 1000000 / Tier 2 if >= 100000 / Tier 3 if < 100000,Tier value matches the expected threshold based on the member count entered
P1_ValidateStakeholderDataAccuracy,Collect the signed-off values from stakeholders for Tenant Name / Tenant ID / Tenant Country Code / Member Count,Stakeholder confirmation is documented
,Compare each stakeholder-provided value against the corresponding entry in Column C of the Environment Variables spreadsheet,All Manual fields match the stakeholder-provided values exactly with no discrepancies
,Confirm Tenant ID is unique by checking it does not already exist in the Master_Sheet or other client tabs,Tenant ID is not duplicated across any existing tab in the workbook
P2_ValidatePhase2SpreadsheetFields,Open the Environment Variables spreadsheet and navigate to the client-specific tab,Client tab is accessible
,Confirm all Phase 2 Manual fields are populated in Column C: Cost Center / Primary Owner / Secondary Owner / Support Group / Application / ATG / New or Existing Role,No blank cells exist for any Phase 2 Manual field
,Confirm the Cost Center value is a 6-digit numeric code,Cost Center field contains exactly 6 digits
,Confirm Primary Owner is a valid email address and Secondary Owner is a distribution list email,Both email formats are valid and match stakeholder-provided values
P2_ValidateServiceNowAWSAccountTicket,Log into DQ Service Now using Okta Tile,ServiceNow is accessible and the home page loads
,Navigate to Service Catalog and locate the submitted AWS Accounts Request ticket,Ticket is present with status visible
,Verify ticket Type of Request = Cloud Request and Cloud Provider = AWS,Both fields match the expected values
,"Verify the Additional Comments table in the ticket contains the correct AWS Accounts, Cost Center, Environment, Environment Prefix, Primary Owner, Secondary Owner, Support Group, Application, ATG, and Role values","All values in the ticket match the corresponding entries in the Environment Variables spreadsheet with no discrepancies"
,Confirm the ticket has been assigned to the Cloud Infrastructure Team,Ticket assignee is Erik Rodriguez or the Cloud Infrastructure Team group
P2_ValidateAWSAccountsCreated,Confirm that Cloud Infrastructure Team has provided the new AWS account details,Account name and ID details received from Cloud Infrastructure Team
,"Log into AWS via Okta SSO and verify the new accounts are visible (PROD, QAR, DEV)",All three environment accounts appear in the AWS account list
,Confirm account names follow the Auto-Generated naming convention from the Environment Variables spreadsheet (e.g. Dental-SLE-PROD-us-east-1),Each account name matches exactly what is listed in the spreadsheet
P2_1_ValidateAWSIAMRoles,Log into AWS via Okta SSO and switch to the tenant DEV account,DEV account is accessible without error
,Navigate to IAM and confirm the expected roles exist (existing role base such as aws-oktaSSO or new custom roles as per Environment Variables),All required IAM roles are present in the account
,Repeat role verification for QAR and PROD accounts,IAM roles exist and are correctly configured in all three environments
P2_1_ValidateAWSOktaSSOAccess,Using an authorized team member account log into AWS DEV via the Okta Tile,Login succeeds and the AWS console is accessible for the DEV account
,Switch to the appropriate tenant-specific IAM role within the DEV account,Role switch succeeds and the correct account ID is shown in the console header
,Repeat login and role switch for QAR and PROD accounts,All three environments are accessible using the assigned IAM roles
P3_ValidateJiraInfraProvisioningTicket,Log into Jira and navigate to the client-specific backlog,Backlog is accessible
,Locate the Tenant AWS Provisioning user story for this tenant,User story exists with title matching Tenant AWS Provisioning - [Tenant Name]
,Verify the description contains links to the Azure DevOps architecture folder and the Environment Variables spreadsheet,Both links are present and navigate to the correct resources
,Verify Acceptance Criteria is set to: AWS cloud server infrastructure setup should be complete and infrastructure validated for the Tenant,Acceptance criteria text matches exactly
,Confirm the ticket is assigned to the Cloud Infrastructure Team and status is Done or has a completion comment,Ticket indicates provisioning is complete
P3_ValidateEC2ServersProvisioned,Log into AWS via Okta Tile and switch to the DEV environment role,AWS console is accessible for the DEV account
,Navigate to EC2 and click Instances (running),EC2 instances list is displayed
,Compare every running instance name against the expected server list in the Environment Variables spreadsheet for DEV,All expected servers from the spreadsheet are present in the running instances list with no missing servers
,Verify each instance Status Check shows 2/2 checks passed (System Status Check and Instance Status Check),All instances show passing status checks with no failed checks
,Repeat steps for QAR and PROD environments as each becomes available,All expected servers are running and passing status checks in each environment
P3_1_ValidateInfrastructureInventoryDocumented,Open the Environment Variables spreadsheet and navigate to the client-specific tab,Client tab is accessible
,"Verify that ALB Physical Load Balancer DNS name and IP are populated for PROD (Column C), QAR (Column D), and DEV (Column E)",All ALB fields are populated with no blank cells across all three environments
,"Verify that NLB Load Balancer DNS name and IP are populated for PROD (Column C), QAR (Column D), and DEV (Column E)",All NLB fields are populated with no blank cells across all three environments
,Verify that web server IP (windward2-web-server1-ip) is documented for all environments,Web server IP is populated for all three environments
,Confirm documented values have been reviewed and approved by Daniel Hobert and Erik Rodriguez,Stakeholder review confirmation is recorded
P3_1_ValidateDNSCNAMETicket,Log into DQ Service Now and locate the DNS Change ticket for this tenant,Ticket is present and accessible
,Verify ticket Type of Request = Network and Type of Network Request = DNS Change and DNS Change Type = Cname,All three fields match the expected values
,"Verify the Additional Comments contain correct alias mappings for: Windward Web ALB, Payment Web server, Utility App ALB, App ALB, and NLB load balancer","All five alias mappings are present with correct server names, IPs, and alias values from the Environment Variables spreadsheet"
,Confirm the ticket has been completed and closed,Ticket status is Closed or Resolved
P3_1_ValidateDNSAliasResolution,Using a network lookup tool (nslookup or equivalent) resolve the Windward Web alias from the Environment Variables spreadsheet,Alias resolves to the correct ALB DNS endpoint
,Resolve the App ALB alias and confirm it points to the correct load balancer,Alias resolves to the correct ALB DNS endpoint
,Resolve the NLB alias and confirm it points to the correct network load balancer,Alias resolves to the correct NLB DNS endpoint
,Resolve the Payment Web and Utility App ALB aliases,Both aliases resolve to the correct endpoints with no DNS errors
P3_2_ValidateSSLCertificateTickets,Log into DQ Service Now and locate the SSL Cert request ticket(s) for this tenant,Certificate ticket(s) are present and accessible
,Verify ticket Type of Request = Network and Type of Network Request = New SSL Cert,Both fields match the expected values
,Confirm tickets have been completed and closed by the Network Team,All certificate tickets have a Closed or Resolved status
P3_2_ValidateHTTPSConnectivity,Open a browser and navigate to the Windward Web ALB alias using HTTPS,Page loads over HTTPS without SSL errors or certificate warnings
,Click the padlock icon in the browser and inspect the certificate details,Certificate is valid, not expired, and the domain name matches the expected tenant domain
,Navigate to the App ALB alias using HTTPS and verify the certificate,Page loads over HTTPS with a valid certificate matching the expected domain
,Confirm no mixed-content or TLS version warnings appear in the browser developer tools,No security warnings or errors are reported
P3_3_ValidateInfoSecControls,Confirm with the InfoSec key responsible person (Jamie Smith) that all required security controls have been implemented on the tenant AWS environment,Written confirmation or Jira ticket update received from InfoSec confirming completion
,Verify that access and permission review documentation has been completed and stored,Access review documentation exists and is accessible in the designated location
,Confirm required security evidence has been captured and stored per InfoSec requirements,Evidence package is complete and stored in the designated location
,Confirm InfoSec sign-off has been received before proceeding to Phase 4,Formal sign-off documented from InfoSec team
P4_ValidateDatabaseRestoration,Confirm with the DBA team (Vasudha Ramakrishnan) that all required databases have been restored to the provisioned database servers,DBA confirmation received that restoration is complete
,Connect to the DEV database server and verify all expected databases are present,All required databases (Core DB, Logging DB, ApplicationSecurity DB, EDI DB, etc.) are listed on the server
,Run a basic connectivity test to each database (ping or SELECT 1 query),Each database responds successfully to the connectivity test with no errors
,Confirm database integrity checks have been executed and passed with no errors,DBA provides results showing no integrity issues across all restored databases
,Repeat verification for QAR and PROD database servers,All databases are present and accessible on all three environment servers
P4_1_ValidateDatabaseRightSizing,Log into the AWS console and navigate to EC2 for the DEV database server,Database server instance details page is accessible
,Compare the instance type against the expected specification for the tenant Tier from the architecture documentation,Instance type matches the Tier specification (Tier 1 / Tier 2 / Tier 3) documented in architecture
,Verify storage allocation matches the expected size for the tenant Tier,Storage capacity matches the Tier specification with no under-provisioning
,Confirm DBA team has reviewed and approved the sizing,DBA sign-off documented
,Repeat instance type and storage check for QAR and PROD database servers,All environment database servers match the Tier specification
P5_ValidateApplicationDeploymentTickets,Log into Jira or ADO and navigate to the client-specific backlog,Backlog is accessible
,Confirm a deployment ticket exists for each application that interacts with Windward (Web / Payment / Config / APIs),A ticket exists per application with the title format: [Application Name] Deployment - [Tenant Name]
,Verify Acceptance Criteria on each ticket confirms the application is deployed and accessible,Acceptance criteria text is present and matches the expected format
