Title,Step Action,Step Expected Result
GD_DBShrink_ValidateInputParameters,Open the DB Shrink Application design document and confirm the required input parameters are defined: ClientName and ShrinkDatabase flag,Input parameters ClientName and ShrinkDatabase are documented with valid data types and accepted values
,Confirm that the ClientName parameter maps to a valid tenant identifier in the environment,ClientName resolves to the correct tenant schema prefix with no ambiguity
,Confirm that ShrinkDatabase is a boolean flag and that both true and false states are handled by the application,Both values are handled with documented behavior for each state
GD_DBShrink_ValidatePhase1_PrepareStagingData,Execute Phase 1 of the DB Shrink process against the target tenant database in a non-production environment,Phase 1 completes without error and staging tables are created with correct structure
,Verify that all staging tables are populated with the expected row counts before proceeding to Phase 2,Staging table row counts match source data counts within the documented tolerance
,Confirm that no production data is modified during Phase 1,Production tables remain unchanged; all changes are isolated to staging objects
GD_DBShrink_ValidatePhase2_DisableConstraints,Execute Phase 2 to disable foreign key constraints on the target tables,Phase 2 completes and all listed foreign key constraints are disabled without error
,Query the database to confirm constraints are in a disabled state before Phase 3 runs,sys.foreign_keys or equivalent view shows is_disabled = 1 for all targeted constraints
,Confirm that constraint disable scope is limited to the tables defined in the design doc,No additional constraints outside the defined scope are affected
GD_DBShrink_ValidatePhase3_TruncateData,Execute Phase 3 to truncate historical data from the target tables,Phase 3 completes and row counts in target tables are reduced to the expected post-truncation values
,Confirm that reference/lookup tables and active records are not truncated,Protected tables retain all rows; only archival data is removed
,Verify that the truncation is logged and the before/after row counts are captured,Log file or audit table records pre- and post-truncation counts for each affected table
GD_DBShrink_ValidatePhase4_RestoreBatchedData,Execute Phase 4 to restore batched data from staging into the target tables,Phase 4 completes and retained records are reinserted without duplicate key or constraint violations
,Confirm that batch inserts complete within the documented time window,Phase 4 execution time falls within the expected range defined in the design doc
,Verify that row counts in the target tables after Phase 4 match the expected retained data volume,Post-restore row counts equal the count of records that met the retention criteria
GD_DBShrink_ValidatePhase5_RecreateConstraints,Execute Phase 5 to re-enable and recreate foreign key constraints,Phase 5 completes and all constraints are re-enabled without validation errors
,Run a database integrity check (DBCC CHECKCONSTRAINTS or equivalent) after Phase 5,Integrity check returns no violations; all relationships are valid
,Confirm that the database is fully operational and accessible to the Windward application after Phase 5,Application login and basic data retrieval succeed against the shrunk database
GD_DBShrink_ValidateEndToEndOnNonProd,Execute the full 5-phase DB Shrink process end-to-end on a copy of the production database in a non-production environment,All 5 phases complete successfully and the resulting database is smaller than the source
,Compare the shrunk database size to the target size documented in the design doc,Final database size meets or is less than the documented target size
,Perform a functional smoke test against the shrunk database using the Playwright suite,Playwright suite passes all tests confirming the application works correctly with shrunk data
GD_ActiveDirectory_ValidateDomainStrategyDecision,Review the Active Directory decision document and confirm that the chosen strategy (on-prem DC, AWS DC, or AWS AD service) is documented with rationale,The selected AD strategy is documented with justification and trade-offs acknowledged
,Confirm that the decision aligns with the InfoSec tenant isolation requirements,The AD configuration supports per-tenant identity isolation as described in the security discovery notes
,Verify that the AD strategy decision has been signed off by the relevant stakeholders,Sign-off or approval record exists for the AD strategy
GD_ActiveDirectory_ValidateConnectivity,Confirm that the Windward application servers can reach the Active Directory domain controller (on-prem or AWS) on required ports (389 LDAP / 636 LDAPS / 88 Kerberos),Port connectivity tests pass from each Windward Web and App server to the domain controller
,Perform a domain join test for a Windward server in the target AWS environment,Server successfully joins the domain and appears in the correct OU
,Verify that Group Policy Objects (GPOs) apply correctly to the joined server,GPO application succeeds and required security policies are enforced on the server
