Title,Step Action,Step Expected Result
ARCH_WW1_WebTier_ServerProvisioning,Log into AWS console and navigate to EC2 Instances for the target environment,EC2 instances list is displayed
,Locate windward-web-server1 and confirm Instance Type is m5.large,Instance type shows m5.large
,Confirm windward-web-server1 OS is Windows Server 2022,Platform details show Windows 2022
,Confirm windward-web-server1 is in Availability Zone AZ1,Availability Zone matches AZ1
,Repeat all checks for windward-web-server2 (m5.large / Windows 2022 / AZ1),windward-web-server2 matches identical spec to windward-web-server1
,Confirm both servers are in Running state with 2/2 status checks passed,Both servers show Running with no failed status checks
ARCH_WW1_WebTier_DriveConfiguration,In EC2 select windward-web-server1 and navigate to the Storage tab,Storage volumes list is displayed
,Verify C drive: 100GB gp3,C drive shows 100GB gp3 volume attached
,Verify D drive: 100GB gp3,D drive shows 100GB gp3 volume attached
,Verify P drive: 12GB gp3,P drive shows 12GB gp3 volume attached
,Repeat drive verification for windward-web-server2 (C:100GB / D:100GB / P:12GB all gp3),windward-web-server2 drive configuration matches windward-web-server1 exactly
ARCH_WW1_WebTier_LoadBalancer,In AWS console navigate to EC2 > Load Balancers and locate windward-web-loadbalancer-alb,ALB is present and in Active state
,Confirm the load balancer type is ALB (Application Load Balancer),Load balancer type shows Application
,Navigate to the Target Groups for windward-web-loadbalancer-alb,Target groups list is displayed
,Confirm both windward-web-server1 and windward-web-server2 are registered as targets,Both web servers appear as registered targets
,Confirm both targets show Healthy status,Both targets show healthy with no unhealthy or draining instances
,Confirm ALB DNS name and IP are documented in the Environment Variables spreadsheet,Environment Variables spreadsheet ALB-Physical-LoadBalancer field is populated and matches the ALB DNS name shown in AWS
ARCH_WW1_AppTier_ServerProvisioning,Log into AWS console and navigate to EC2 Instances for the target environment,EC2 instances list is displayed
,Locate windward-app-server1 and confirm Instance Type is m5.large and OS is Windows 2022,Instance type is m5.large and platform shows Windows 2022
,Confirm windward-app-server1 is in Availability Zone AZ1,AZ matches AZ1
,Confirm windward-app-server2 is m5.large / Windows 2022 / AZ1,windward-app-server2 matches expected spec
,Confirm windward-app-server3 is m5.large / Windows 2022 / AZ1,windward-app-server3 matches expected spec
,Confirm all three app servers are in Running state with 2/2 status checks passed,All three servers show Running with no failed status checks
ARCH_WW1_AppTier_DriveConfiguration,In EC2 select windward-app-server1 and navigate to the Storage tab,Storage volumes list is displayed
,Verify C drive: 100GB gp3 / D drive: 100GB gp3 / P drive: 12GB gp3,All three volumes match expected sizes and type
,Repeat for windward-app-server2: C:100GB gp3 / D:100GB gp3 / P:12GB gp3,windward-app-server2 drive configuration matches spec
,Verify windward-app-server3: C:100GB gp3 / D:100GB gp3 / P:8GB gp3,windward-app-server3 P drive is 8GB gp3 (smaller than server1 and server2)
ARCH_WW1_AppTier_LoadBalancers,In AWS console navigate to EC2 > Load Balancers and locate windward-app-NLB-loadbalancer,NLB is present and in Active state
,Confirm type is NLB (Network Load Balancer),Load balancer type shows Network
,Confirm windward-app-server2 and windward-app-server3 are registered as healthy targets in the NLB,Both servers show as healthy targets; windward-app-server1 (Utility) is NOT a target of the NLB
,Locate windward-app-ALB-loadbalancer and confirm type is ALB,Load balancer type shows Application
,Confirm windward-app-server2 and windward-app-server3 are registered as healthy targets in the App ALB,Both servers show as healthy targets
,Locate windward-app-utility-ALB-loadbalancer and confirm windward-app-server1 is the sole registered healthy target,Only windward-app-server1 appears as a registered target with healthy status
,Confirm NLB and ALB DNS names and IPs are documented in the Environment Variables spreadsheet,windward-app-NLB-loadbalancer and ALB-Physical-LoadBalancer fields are populated in the spreadsheet
ARCH_WW1_AppTier_UtilityServerApplications,RDP or connect to windward-app-server1 (Utility) and verify the following APIs are installed and running: Group API / Member API / PCD API,All three APIs are present and running as IIS applications or Windows services with no stopped or errored state
,Verify DataHub API (V4 / V5 / V6 variants) are installed on windward-app-server1,DataHub API versions are deployed and accessible on the Utility server
,Verify the SSIS packages and TWS agent are installed on windward-app-server1,SSIS is installed; TWS agent service is present and running on app-server1
,Verify app-server2 and app-server3 host the full Windward app tier application set (non-utility apps),Windward app tier applications are deployed and running on both app-server2 and app-server3
ARCH_WW2_ServerProvisioning,Log into AWS console and navigate to EC2 Instances,EC2 instances list is displayed
,Locate windward2-web-server1 and confirm Instance Type is m5.large / OS Windows 2022 / AZ1,Instance spec matches: m5.large, Windows 2022, AZ1
,Confirm windward2-web-server1 drives: C:100GB gp3 / D:100GB gp3 / P:12GB gp3,All three drives match expected sizes and storage type
,Locate windward2-app-server1 and confirm Instance Type is m5.large / OS Windows 2022 / AZ1,Instance spec matches: m5.large, Windows 2022, AZ1
,Confirm windward2-app-server1 drives: C:100GB gp3 / D:100GB gp3 / P:12GB gp3,All three drives match expected sizes and storage type
,Confirm both windward2 servers are Running with 2/2 status checks passed,Both servers are healthy with no failed status checks
ARCH_WW2_Applications,Connect to windward2-web-server1 and confirm the Windward 2.0 Payment web application is installed and running,Payment application is deployed and accessible on windward2-web-server1
,Confirm the Windward 2.0 Config (Configuration) web application is installed and running on windward2-web-server1,Config application is deployed and accessible on windward2-web-server1
,Connect to windward2-app-server1 and confirm Payment and Config app tier components are installed and running,Both application tier components are present and running on windward2-app-server1
,Verify windward2-web-server1 DNS aliases are configured: payment-webserver-alias and config-webserver-alias both resolve to windward2-web-server1 IP,Both DNS aliases resolve to the correct server IP documented in the Environment Variables spreadsheet
,Verify windward2-web-server1 connects through windward2-app-server1 which connects to the WW1 Database Tier,Traffic flow follows the documented path: WW2 Web → WW2 App → WW1 DB Tier
ARCH_DB_PrimaryServerProvisioning,Log into AWS console and locate windward-database-server in EC2 Instances,Server is present and in Running state
,Confirm Instance Type is m5.2xlarge and OS is Windows Server 2022,Instance type shows m5.2xlarge and platform shows Windows 2022
,Confirm Availability Zone is AZ1,Server is deployed in AZ1
